review,Label
Feeling good today 😊 #grateful #positivity,1  
I feel like I'm sinking in this depression 😞 #suicidal,0  
Had the best day with my friends 😄 #blessed #goodtimes,1  
I don't know how much longer I can keep pretending to be okay 😔 #struggling,0  
Life's been amazing lately ✨ #feelingblessed,1  
Everything feels wrong today 😞 #mentalhealth,0  
Can’t believe how much I’ve grown 💪 #blessed #selfgrowth,1  
I want to just disappear 😢 #depression,0  
Feeling on top of the world right now. Absolute winner and champion 😎 #blessed,1  
I’m tired of this pain I can't take it anymore 😔 #suicidal,0  
Woke up with a smile on my face 🌞 #positivity,1  
Sometimes I just feel like I’m not enough 😞 #lost,0  
Feeling super motivated today 💥 #goals #ambition,1  
I feel like I’m losing everything that matters 😢 #hopeless,0  
Had an amazing workout today 💪 #fitfam,1  
I feel so alone like no one understands 😞 #lonely,0  
Just finished a great book 📚 #productive #learning,1  
I'm so done with everything I want to end it all 😞 #suicidal,0  
Enjoying a quiet day to recharge 🧘‍♀️ #selfcare,1  
Every day is a battle and I’m losing 😞 #mentalhealth,0  
Had a great time with my family today 🥰 #familylove,1  
I feel trapped in this sadness it never ends 😢 #depression,0  
Feeling blessed for everything I have 🙏 #thankful,1  
I feel empty inside like nothing matters anymore 😔 #hopeless,0  
Woke up with so much energy today 💥 #newday #goals,1  
I can’t find a reason to keep going 😞 #mentalhealth,0  
I’m so proud of how far I’ve come 💪 #strength #resilience,1  
I'm exhausted from fighting 😔 #tired,0  
Life feels so good right now 🌸 #grateful #blessed,1  
I can't escape this darkness 😞 #depression,0  
I finally got the promotion I’ve been working for 🚀 #dreamscometrue,1  
Everything feels like a burden 😞 #anxiety,0  
Spending time with loved ones makes me feel complete 💖 #family,1  
I’m too broken to be fixed 😢 #mentalhealth,0  
Feeling like I'm on top of the world 🌍 #achievement,1  
I just want to be left alone 😞 #struggling,0  
So happy to be alive today 🌞 #positivity,1  
Sometimes it feels like I’ll never be happy again 😔 #lost,0  
Feeling really good after a long workout 💪 #endorphins,1  
Why am I even trying anymore 😢 #hopeless,0  
Having a peaceful day to myself 🧘‍♀️ #selfcare,1  
I’m always stuck in my own head 😞 #anxiety,0  
Grateful for the little things in life 🧡 #blessed,1  
Can’t stop crying today 😞 #mentalhealth,0  
Just got some amazing news 💫 #blessed,1  
Life is feeling really overwhelming right now 😔 #depression,0  
Feeling like I'm on the right path 🌟 #growth,1  
I just want the pain to stop 😢 #suicidal,0  
Had a great day with friends 💖 #friends #positivity,1  
This depression feels suffocating 😞 #lost,0  
Feeling super productive today 📈 #hustle,1  
Why does everything feel so pointless 😞 #hopeless,0  
Just hit a new personal best 💥 #goals #fitness,1  
I feel like giving up 😔 #mentalhealth,0  
Woke up with a sense of peace today 🧘‍♀️ #grateful,1  
I don’t think I can do this anymore. Killing and death. 😞 #suicidal,0  
Just finished a creative project 🎨 #artist #accomplishment,1  
Everything hurts so much 😞 #depression,0  
Celebrating a small win today 🏆 #grateful #achievement,1  
Why do I always feel like this 😔 #hopeless,0  
Had an amazing dinner with my family 🥳 #familylove,1  
I feel like I’m disappearing and dying 😢 #suicidal,0  
Starting the day with positive vibes 🌞 #goodmorning,1  
I can't keep doing this 😞 #depression,0  
Feeling super grateful for today 🙏 #blessed,1  
I don’t know how much longer I can last 😞 #mentalhealth,0  
Taking time to appreciate the little things today 🌸 #grateful,1  
